ReE,ImE,rho_pi,rho_gamma,rho_total
-0.7241379310344828,-0.7586206896551724,2.0783481998719655e-6 - 3.769653655376692e-6im,4.2886829733752865e-6 - 2.1191174661052703e-6im,6.367031173247252e-6 - 5.888771121481963e-6im
-0.7241379310344828,-0.6551724137931034,2.6400286031974724e-6 - 3.6516308713968106e-6im,4.528060051382823e-6 - 1.98416816701202e-6im,7.168088654580296e-6 - 5.635799038408831e-6im
-0.7241379310344828,-0.5517241379310345,3.230143776728091e-6 - 3.4286209653675507e-6im,4.774719683947215e-6 - 1.8084587874499014e-6im,8.004863460675305e-6 - 5.2370797528174525e-6im
-0.7241379310344828,-0.4482758620689655,3.82579301275243e-6 - 3.078484336217249e-6im,5.020309565495096e-6 - 1.583628793296453e-6im,8.846102578247525e-6 - 4.662113129513702e-6im
-0.7241379310344828,-0.3448275862068966,4.3914395132022965e-6 - 2.583892097778956e-6im,5.2515375814117794e-6 - 1.3028259009503513e-6im,9.642977094614076e-6 - 3.886717998729307e-6im
-0.7241379310344828,-0.2413793103448276,4.87907841160879e-6 - 1.9400494361223643e-6im,5.449980501546268e-6 - 9.637770018740227e-7im,1.0329058913155057e-5 - 2.903826437996387e-6im
-0.7241379310344828,-0.13793103448275862,5.2339333650446435e-6 - 1.163567881116419e-6im,5.5941367623673824e-6 - 5.725237548468619e-7im,1.0828070127412026e-5 - 1.7360916359632808e-6im
-0.7241379310344828,-0.034482758620689655,5.407164373762406e-6 - 2.976272084097264e-7im,5.664482650063302e-6 - 1.4581105357322472e-7im,1.1071647023825708e-5 - 4.434382619829511e-7im
-0.7241379310344828,0.06896551724137931,5.371876167922147e-6 + 5.925075326062005e-7im,5.650154274073375e-6 + 2.905275974973859e-7im,1.1022030441995522e-5 + 8.830351301035864e-7im
-0.7241379310344828,0.1724137931034483,5.133715205629339e-6 + 1.4350170018648786e-6im,5.553433312773912e-6 + 7.079331501468501e-7im,1.0687148518403252e-5 + 2.142950152011729e-6im
-0.7241379310344828,0.27586206896551724,4.728549542867998e-6 + 2.170748984650802e-6im,5.388786841000797e-6 + 1.0831006411985542e-6im,1.0117336383868795e-5 + 3.2538496258493564e-6im
-0.7241379310344828,0.3793103448275862,4.2089665330172264e-6 + 2.765460677621981e-6im,5.177101504631105e-6 + 1.4029216311252823e-6im,9.386068037648332e-6 + 4.168382308747263e-6im
-0.7241379310344828,0.4827586206896552,3.6285477409988137e-6 + 3.210563700090011e-6im,4.93927441095872e-6 + 1.6645126363804023e-6im,8.567822151957534e-6 + 4.875076336470413e-6im
-0.7241379310344828,0.5862068965517241,3.031451278187298e-6 + 3.5160284394322454e-6im,4.692113461016984e-6 + 1.8720818128684446e-6im,7.72356473920428e-6 + 5.38811025230069e-6im
-0.7241379310344828,0.6896551724137931,2.4488345085164732e-6 + 3.7015159144962588e-6im,4.447166605190306e-6 + 2.033265007936212e-6im,6.896001113706779e-6 + 5.734780922432471e-6im
-0.7241379310344828,0.7931034482758621,1.8998730132873265e-6 + 3.789526433466574e-6im,4.211383726063455e-6 + 2.156463107351501e-6im,6.111256739350782e-6 + 5.9459895408180755e-6im
-0.7241379310344828,0.896551724137931,1.3945893884225356e-6 + 3.8013781497095175e-6im,3.988358472525712e-6 + 2.2494076022892802e-6im,5.382947860948248e-6 + 6.050785751998798e-6im
-0.7241379310344828,1.0,9.368033195819423e-7 + 3.755431476535857e-6im,3.77950214797429e-6 + 2.3186074754406484e-6im,4.716305467556233e-6 + 6.0740389519765055e-6im
-0.6206896551724138,-2.0,-1.689351257694093e-6 - 2.3910545679578417e-6im,2.3561136981249853e-6 - 2.544775274133989e-6im,6.667624404308923e-7 - 4.93582984209183e-6im
-0.6206896551724138,-1.896551724137931,-1.56022975863073e-6 - 2.5838646759077637e-6im,2.4654497163717027e-6 - 2.5606235555018506e-6im,9.052199577409727e-7 - 5.144488231409615e-6im
-0.6206896551724138,-1.793103448275862,-1.4099875366439485e-6 - 2.780953466369265e-6im,2.5820568710856432e-6 - 2.5746058062833206e-6im,1.1720693344416948e-6 - 5.355559272652585e-6im
-0.6206896551724138,-1.6896551724137931,-1.2357378316626436e-6 - 2.981383651961591e-6im,2.7067593718088883e-6 - 2.586284858265717e-6im,1.4710215401462447e-6 - 5.567668510227308e-6im
-0.6206896551724138,-1.5862068965517242,-1.0341465142125681e-6 - 3.183770830448373e-6im,2.840488971286064e-6 - 2.5950060073843535e-6im,1.8063424570734957e-6 - 5.778776837832727e-6im
-0.6206896551724138,-1.4827586206896552,-8.013741607057405e-7 - 3.386137075346431e-6im,2.9843202386641372e-6 - 2.599938752806872e-6im,2.1829460779583967e-6 - 5.986075828153303e-6im
-0.6206896551724138,-1.3793103448275863,-5.330258384218331e-7 - 3.585664946232506e-6im,3.1395074553673398e-6 - 2.6000151596682176e-6im,2.6064816169455066e-6 - 6.185680105900724e-6im
-0.6206896551724138,-1.2758620689655173,-2.2412495493509303e-7 - 3.778408633235334e-6im,3.3074844311567753e-6 - 2.5937954775343944e-6im,3.083359476221682e-6 - 6.372204110769728e-6im
-0.6206896551724138,-1.1724137931034482,1.3085999484893004e-7 - 3.95885046147823e-6im,3.4898637594154317e-6 - 2.579339468435931e-6im,3.620723754264362e-6 - 6.538189929914161e-6im
-0.6206896551724138,-1.0689655172413792,5.378733634381406e-7 - 4.119326960131292e-6im,3.68842654066571e-6 - 2.5540149284857823e-6im,4.226299904103851e-6 - 6.673341888617074e-6im
-0.6206896551724138,-0.9655172413793104,1.002929540874418e-6 - 4.249264624926171e-6im,3.905018380774856e-6 - 2.514227630843395e-6im,4.907947921649273e-6 - 6.763492255769566e-6im
-0.6206896551724138,-0.8620689655172413,1.531404246833017e-6 - 4.334231982885893e-6im,4.141358743966431e-6 - 2.455060263584335e-6im,5.672762990799448e-6 - 6.789292246470228e-6im
-0.6206896551724138,-0.7586206896551724,2.126684927263162e-6 - 4.35482283600138e-6im,4.398611790282261e-6 - 2.369822396304037e-6im,6.525296717545424e-6 - 6.724645232305418e-6im
-0.6206896551724138,-0.6551724137931034,2.7878327691845223e-6 - 4.285653629992902e-6im,4.676592974370884e-6 - 2.2495678493508925e-6im,7.464425743555406e-6 - 6.535221479343794e-6im
-0.6206896551724138,-0.5517241379310345,3.50575035398293e-6 - 4.095008116018095e-6im,4.9723601728329535e-6 - 2.0827797392702633e-6im,8.478110526815884e-6 - 6.177787855288359e-6im
-0.6206896551724138,-0.4482758620689655,4.25759990467675e-6 - 3.746492089489008e-6im,5.278018874125953e-6 - 1.855727780676303e-6im,9.535618778802702e-6 - 5.602219870165311e-6im
-0.6206896551724138,-0.3448275862068966,5.000245956456355e-6 - 3.204886497078266e-6im,5.5778697601749945e-6 - 1.5544396523010477e-6im,1.057811571663135e-5 - 4.759326149379313e-6im
-0.6206896551724138,-0.2413793103448276,5.665885790885828e-6 - 2.4485877001623034e-6im,5.846128992307526e-6 - 1.1695179954454217e-6im,1.1512014783193354e-5 - 3.618105695607725e-6im
-0.6206896551724138,-0.13793103448275862,6.166838140977984e-6 - 1.488308252585922e-6im,6.048233106667003e-6 - 7.039666868912377e-7im,1.2215071247644988e-5 - 2.19227493947716e-6im
-0.6206896551724138,-0.034482758620689655,6.416906383457919e-6 - 3.832674775954709e-7im,6.149292610328409e-6 - 1.8049643958774643e-7im,1.2566198993786328e-5 - 5.637639171832173e-7im
-0.6206896551724138,0.06896551724137931,6.365659311227878e-6 + 7.619412406297808e-7im,6.128576248878845e-6 + 3.5914190693135275e-7im,1.2494235560106724e-5 + 1.1210831475611336e-6im
-0.6206896551724138,0.1724137931034483,6.023860021040337e-6 + 1.8284958227344697e-6im,5.990504948079682e-6 + 8.671563453112903e-7im,1.201436496912002e-5 + 2.69565216804576e-6im
-0.6206896551724138,0.27586206896551724,5.457720931538189e-6 + 2.72476813117683e-6im,5.762231014179599e-6 + 1.3072851279703513e-6im,1.1219951945717788e-5 + 4.032053259147181e-6im
-0.6206896551724138,0.3793103448275862,4.75738457148745e-6 + 3.4086767775396625e-6im,5.4799377990052595e-6 + 1.6638674618734338e-6im,1.023732237049271e-5 + 5.0725442394130965e-6im
-0.6206896551724138,0.4827586206896552,4.005386352040405e-6 + 3.882507520602305e-6im,5.175810539659374e-6 + 1.9390036589384578e-6im,9.181196891699778e-6 + 5.821511179540763e-6im
-0.6206896551724138,0.5862068965517241,3.2611906373778436e-6 + 4.17424384428956e-6im,4.872151570858227e-6 + 2.144360095670219e-6im,8.133342208236071e-6 + 6.318603939959779e-6im
-0.6206896551724138,0.6896551724137931,2.5604717593178614e-6 + 4.320518359328119e-6im,4.5817342791853215e-6 + 2.2942008508293273e-6im,7.1422060385031825e-6 + 6.614719210157446e-6im
-0.6206896551724138,0.7931034482758621,1.9207689683468917e-6 + 4.356546376167698e-6im,4.31050890500241e-6 + 2.4016326998923765e-6im,6.231277873349302e-6 + 6.758179076060075e-6im
-0.6206896551724138,0.896551724137931,1.3479288642526677e-6 + 4.311990731852956e-6im,4.060294742152578e-6 + 2.4773073621359863e-6im,5.408223606405246e-6 + 6.7892980939889424e-6im
-0.6206896551724138,1.0,8.411052237736409e-7 + 4.210144943531085e-6im,3.8307057612991615e-6 + 2.529368951503332e-6im,4.671810985072803e-6 + 6.739513895034417e-6im
-0.5172413793103449,-2.0,-1.889156157535466e-6 - 2.507620412057483e-6im,2.3361391671010233e-6 - 2.6513314175965804e-6im,4.4698300956555734e-7 - 5.158951829654063e-6im
-0.5172413793103449,-1.896551724137931,-1.7659603979174984e-6 - 2.72048605363655e-6im,2.4467519509301167e-6 - 2.6742610439527577e-6im,6.807915530126183e-7 - 5.394747097589308e-6im
-0.5172413793103449,-1.793103448275862,-1.6210882679205217e-6 - 2.940462087391248e-6im,2.5650046260942045e-6 - 2.6961208707772277e-6im,9.439163581736829e-7 - 5.636582958168476e-6im
-0.5172413793103449,-1.6896551724137931,-1.4513185913955362e-6 - 3.16708485371501e-6im,2.6918253799852756e-6 - 2.7166128552448494e-6im,1.2405067885897394e-6 - 5.883697708959859e-6im
-0.5172413793103449,-1.5862068965517242,-1.2528441797914315e-6 - 3.3995275586380323e-6im,2.8283179326225645e-6 - 2.7352634438609467e-6im,1.575473752831133e-6 - 6.134791002498979e-6im
-0.5172413793103449,-1.4827586206896552,-1.0211596506897868e-6 - 3.6364575369305114e-6im,2.9757426747244094e-6 - 2.75140098231859e-6im,1.9545830240346226e-6 - 6.387858519249102e-6im
-0.5172413793103449,-1.3793103448275863,-7.509328935123954e-7 - 3.8758047808718e-6im,3.135651989309671e-6 - 2.7641943582548674e-6im,2.384719095797276e-6 - 6.639999139126667e-6im
-0.5172413793103449,-1.2758620689655173,-4.358665175899033e-7 - 4.114401731763182e-6im,3.3098915356690677e-6 - 2.7724646461600803e-6im,2.8740250180791644e-6 - 6.886866377923262e-6im
-0.5172413793103449,-1.1724137931034482,-6.856889539866772e-8 - 4.347562141730382e-6im,3.5006595366603837e-6 - 2.774549256292106e-6im,3.4320906412617158e-6 - 7.122111398022489e-6im
-0.5172413793103449,-1.0689655172413792,3.5952165585436127e-7 - 4.568332376588378e-6im,3.7105701439379135e-6 - 2.7680974447442153e-6im,4.070091799792275e-6 - 7.336429821332594e-6im
-0.5172413793103449,-0.9655172413793104,8.580745367448404e-7 - 4.7664972276822455e-6im,3.942682640981048e-6 - 2.7497094679483184e-6im,4.8007571777258884e-6 - 7.516206695630564e-6im
-0.5172413793103449,-0.8620689655172413,1.437487310352049e-6 - 4.9271340235658765e-6im,4.200431955541895e-6 - 2.7144525306254982e-6im,5.637919265893944e-6 - 7.641586554191375e-6im
-0.5172413793103449,-0.7586206896551724,2.1078492825734843e-6 - 5.028653898110837e-6im,4.487377565442212e-6 - 2.6550995018278095e-6im,6.5952268480156955e-6 - 7.683753399938646e-6im
-0.5172413793103449,-0.6551724137931034,2.8766280408624746e-6 - 5.040263274894e-6im,4.806537544749679e-6 - 2.5610885805465328e-6im,7.683165585612153e-6 - 7.601351855440533e-6im
-0.5172413793103449,-0.5517241379310345,3.7439920203394996e-6 - 4.919257303716305e-6im,5.1588049683005975e-6 - 2.4172438791810875e-6im,8.902796988640096e-6 - 7.336501182897393e-6im
-0.5172413793103449,-0.4482758620689655,4.694250570318429e-6 - 4.6096482420034705e-6im,5.539768837441843e-6 - 2.202722933887111e-6im,1.0234019407760271e-5 - 6.812371175890581e-6im
-0.5172413793103449,-0.3448275862068966,5.682240399432007e-6 - 4.04596490853149e-6im,5.934106805985043e-6 - 1.8917350947240872e-6im,1.1616347205417051e-5 - 5.937700003255578e-6im
-0.5172413793103449,-0.2413793103448276,6.6171232366227815e-6 - 3.1697639337225653e-6im,6.308135056915809e-6 - 1.4594156140825146e-6im,1.2925258293538592e-5 - 4.6291795478050795e-6im
-0.5172413793103449,-0.13793103448275862,7.356820937465916e-6 - 1.9663257244278726e-6im,6.6058238554640455e-6 - 8.969144717819748e-7im,1.3962644792929962e-5 - 2.8632401962098474e-6im
-0.5172413793103449,-0.034482758620689655,7.739219054445686e-6 - 5.118194804364955e-7im,6.760558013916636e-6 - 2.3252612979626822e-7im,1.4499777068362322e-5 - 7.443456102327637e-7im
-0.5172413793103449,0.06896551724137931,7.660092107476204e-6 + 1.0152417375344337e-6im,6.7284876849496745e-6 + 4.616003638782197e-7im,1.4388579792425877e-5 + 1.4768421014126534e-6im
-0.5172413793103449,0.1724137931034483,7.142244127190247e-6 + 2.4014259485835554e-6im,6.519264345264695e-6 + 1.0981034124181194e-6im,1.3661508472454942e-5 + 3.499529361001675e-6im
-0.5172413793103449,0.27586206896551724,6.31923286735254e-6 + 3.498903714996098e-6im,6.188741875338994e-6 + 1.6181134233312628e-6im,1.2507974742691534e-5 + 5.117017138327361e-6im
-0.5172413793103449,0.3793103448275862,5.353224156874222e-6 + 4.26614953308452e-6im,5.8027964609101615e-6 + 2.007790439808133e-6im,1.1156020617784382e-5 + 6.273939972892653e-6im
-0.5172413793103449,0.4827586206896552,4.3702832318758034e-6 + 4.737757770331343e-6im,5.4102349988584615e-6 + 2.2836047629998175e-6im,9.780518230734265e-6 + 7.021362533331161e-6im
-0.5172413793103449,0.5862068965517241,3.444430483768896e-6 + 4.977515680922414e-6im,5.0378165284455166e-6 + 2.4718938971204928e-6im,8.482247012214412e-6 + 7.4494095780429065e-6im
-0.5172413793103449,0.6896551724137931,2.6091989738962396e-6 + 5.048747652810914e-6im,4.696446468011302e-6 + 2.597103778277357e-6im,7.3056454419075416e-6 + 7.64585143108827e-6im
-0.5172413793103449,0.7931034482758621,1.873736514124302e-6 + 5.003063827678968e-6im,4.388275032387904e-6 + 2.678131015088246e-6im,6.262011546512206e-6 + 7.681194842767214e-6im
-0.5172413793103449,0.896551724137931,1.234718740757291e-6 + 4.878927224155881e-6im,4.111442804766174e-6 + 2.7284690025716445e-6im,5.346161545523465e-6 + 7.607396226727525e-6im
-0.5172413793103449,1.0,6.834275529535701e-7 + 4.703759191924126e-6im,3.8626417216249e-6 + 2.7574297960288632e-6im,4.546069274578471e-6 + 7.46118898795299e-6im
-0.41379310344827586,-2.0,-2.1078338530899293e-6 - 2.616829646054707e-6im,2.309316155112205e-6 - 2.7586505150587063e-6im,2.0148230202227576e-7 - 5.3754801611134134e-6im
-0.41379310344827586,-1.896551724137931,-1.9932851953789967e-6 - 2.8499620591309373e-6im,2.420425584481337e-6 - 2.788932060072778e-6im,4.271403891023402e-7 - 5.6388941192037155e-6im
-0.41379310344827586,-1.793103448275862,-1.8569902394983584e-6 - 3.09327012438268e-6im,2.539413234704459e-6 - 2.81901157790806e-6im,6.824229952061004e-7 - 5.91228170229074e-6im
-0.41379310344827586,-1.6896551724137931,-1.6954885377310904e-6 - 3.3468783560349582e-6im,2.6672771406715298e-6 - 2.8487822745527034e-6im,9.717886029404394e-7 - 6.195660630587662e-6im
-0.41379310344827586,-1.5862068965517242,-1.5046134004278595e-6 - 3.6106726923232625e-6im,2.805244209144344e-6 - 2.8779742391250107e-6im,1.3006308087164847e-6 - 6.488646931448273e-6im
-0.41379310344827586,-1.4827586206896552,-1.2793263198083556e-6 - 3.884192594647235e-6im,2.95473046659187e-6 - 2.906153765952542e-6im,1.6754041467835142e-6 - 6.790346360599777e-6im
-0.41379310344827586,-1.3793103448275863,-1.013497314598111e-6 - 4.166418933982343e-6im,3.1175290258898292e-6 - 2.9328219573310103e-6im,2.104031711291718e-6 - 7.099240891313353e-6im
-0.41379310344827586,-1.2758620689655173,-6.996423473277435e-7 - 4.4554686072507955e-6im,3.295838283223606e-6 - 2.9572040366812373e-6im,2.5961959358958627e-6 - 7.412672643932033e-6im
-0.41379310344827586,-1.1724137931034482,-3.285984491011229e-7 - 4.748139796933285e-6im,3.4923842731435236e-6 - 2.9781315688718392e-6im,3.1637858240424007e-6 - 7.726271365805124e-6im
-0.41379310344827586,-1.0689655172413792,1.1084709255332905e-7 - 5.039179902172912e-6im,3.7105880250731334e-6 - 2.993859876938743e-6im,3.821435117626463e-6 - 8.033039779111655e-6im
-0.41379310344827586,-0.9655172413793104,6.323426073227463e-7 - 5.320152615913627e-6im,3.954750882980978e-6 - 3.0016874378378685e-6im,4.587093490303724e-6 - 8.321840053751496e-6im
-0.41379310344827586,-0.8620689655172413,1.2522443240784775e-6 - 5.577624658904823e-6im,4.2302323449460335e-6 - 2.9973963668266733e-6im,5.482476669024511e-6 - 8.575021025731496e-6im
-0.41379310344827586,-0.7586206896551724,1.9894880996490893e-6 - 5.79039647970988e-6im,4.5436150479810506e-6 - 2.9742706190614708e-6im,6.53310314763014e-6 - 8.76466709877135e-6im
-0.41379310344827586,-0.6551724137931034,2.8643519203602687e-6 - 5.925147693342902e-6im,4.902557415631263e-6 - 2.9214701483878827e-6im,7.766909335991532e-6 - 8.846617841730784e-6im
-0.41379310344827586,-0.5517241379310345,3.894558642546213e-6 - 5.930196851032013e-6im,5.314809765947946e-6 - 2.821425756258727e-6im,9.209368408494159e-6 - 8.75162260729074e-6im
-0.41379310344827586,-0.4482758620689655,5.08535296468303e-6 - 5.727415732503257e-6im,5.78503245266961e-6 - 2.6460566644741215e-6im,1.0870385417352641e-5 - 8.373472396977378e-6im
-0.41379310344827586,-0.3448275862068966,6.4077334525141595e-6 - 5.206314344202827e-6im,6.306506894224833e-6 - 2.3527506664068347e-6im,1.2714240346738992e-5 - 7.559065010609661e-6im
-0.41379310344827586,-0.2413793103448276,7.758484304411713e-6 - 4.23421963038653e-6im,6.843900077819846e-6 - 1.8860338518401706e-6im,1.460238438223156e-5 - 6.120253482226701e-6im
-0.41379310344827586,-0.13793103448275862,8.9137320699896e-6 - 2.715288376776417e-6im,7.310107631061658e-6 - 1.2003168379480742e-6im,1.622383970105126e-5 - 3.915605214724491e-6im
-0.41379310344827586,-0.034482758620689655,9.547337856645135e-6 - 7.200669008566536e-7im,7.568945792972437e-6 - 3.1744568975940893e-7im,1.711628364961757e-5 - 1.0375125906160627e-6im
-0.41379310344827586,0.06896551724137931,9.4139710381932e-6 + 1.4226922085919107e-6im,7.5142582341542965e-6 + 6.27514820505617e-7im,1.6928229272347497e-5 + 2.0502070290975276e-6im
-0.41379310344827586,0.1724137931034483,8.569616435553202e-6 + 3.2831273250557804e-6im,7.1705072720108695e-6 + 1.4540652848414009e-6im,1.574012370756407e-5 + 4.7371926098971814e-6im
-0.41379310344827586,0.27586206896551724,7.316084436304865e-6 + 4.6162018154585e-6im,6.667102341237e-6 + 2.064382858964487e-6im,1.3983186777541865e-5 + 6.680584674422987e-6im
-0.41379310344827586,0.3793103448275862,5.956600619404145e-6 + 5.4234592046139994e-6im,6.1283201460256315e-6 + 2.4668930482157607e-6im,1.2084920765429778e-5 + 7.89035225282976e-6im
-0.41379310344827586,0.4827586206896552,4.671308344651106e-6 + 5.8242431866034684e-6im,5.621887435550302e-6 + 2.71518562573041e-6im,1.0293195780201409e-5 + 8.539428812333878e-6im
-0.41379310344827586,0.5862068965517241,3.5331437980201017e-6 + 5.947112869467852e-6im,5.171058138152625e-6 + 2.8614881813987885e-6im,8.704201936172726e-6 + 8.808601050866641e-6im
-0.41379310344827586,0.6896551724137931,2.5562204689563513e-6 + 5.8916257942746155e-6im,4.777351012981545e-6 + 2.9432756779436858e-6im,7.3335714819378965e-6 + 8.834901472218302e-6im
-0.41379310344827586,0.7931034482758621,1.7294526376109142e-6 + 5.726187739416038e-6im,4.434480536790822e-6 + 2.984631580929312e-6im,6.1639331744017365e-6 + 8.71081932034535e-6im
-0.41379310344827586,0.896551724137931,1.0335516521202006e-6 + 5.495518944042438e-6im,4.134547743094141e-6 + 3.0005219862472386e-6im,5.168099395214342e-6 + 8.496040930289676e-6im
-0.41379310344827586,1.0,4.484417859801045e-7 + 5.228315520501083e-6im,3.870173653029148e-6 + 3.000177229610391e-6im,4.318615439009252e-6 + 8.228492750111474e-6im
-0.3103448275862069,-2.0,-2.345287525015624e-6 - 2.7161082915838147e-6im,2.275471197447942e-6 - 2.86599238619651e-6im,-6.98163275676821e-8 - 5.582100677780325e-6im
-0.3103448275862069,-1.896551724137931,-2.242259058968541e-6 - 2.96923068951601e-6im,2.38624516406519e-6 - 2.9037564863125073e-6im,1.439861050966487e-7 - 5.872987175828518e-6im
-0.3103448275862069,-1.793103448275862,-2.1179813667588664e-6 - 3.2357403608413884e-6im,2.5049768793643913e-6 - 2.942246088650847e-6im,3.869955126055249e-7 - 6.177986449492236e-6im
-0.3103448275862069,-1.6896551724137931,-1.9688863721312973e-6 - 3.516425602356532e-6im,2.632700660647536e-6 - 2.9815750995837687e-6im,6.638142885162387e-7 - 6.498000701940301e-6im
-0.3103448275862069,-1.5862068965517242,-1.7906159038368108e-6 - 3.8120041267656314e-6im,2.7706903357727564e-6 - 3.021637821410356e-6im,9.800744319359456e-7 - 6.833641948175987e-6im
-0.3103448275862069,-1.4827586206896552,-1.5778092305225304e-6 - 4.123083259860347e-6im,2.920474970642244e-6 - 3.0623784514485835e-6im,1.3426657401197136e-6 - 7.1854617113089305e-6im
-0.3103448275862069,-1.3793103448275863,-1.3238095295099417e-6 - 4.449994278565588e-6im,3.0839871278465866e-6 - 3.1036777010054294e-6im,1.760177598336645e-6 - 7.553671979571017e-6im
-0.3103448275862069,-1.2758620689655173,-1.0202654778586149e-6 - 4.792584904074538e-6im,3.2636551122576437e-6 - 3.145290864589857e-6im,2.2433896343990286e-6 - 7.937875768664394e-6im
-0.3103448275862069,-1.1724137931034482,-6.566245897318287e-7 - 5.1498452322303065e-6im,3.4625939760362524e-6 - 3.186763150849449e-6im,2.8059693863044237e-6 - 8.336608383079755e-6im
-0.3103448275862069,-1.0689655172413792,-2.1941809993854792e-7 - 5.519306505820107e-6im,3.684832063860048e-6 - 3.22727564842455e-6im,3.4654139639215e-6 - 8.746582154244657e-6im
-0.3103448275862069,-0.9655172413793104,3.086627270021248e-7 - 5.89605214281958e-6im,3.935704460452524e-6 - 3.2653855389628774e-6im,4.244367187454648e-6 - 9.161437681782458e-6im
-0.3103448275862069,-0.8620689655172413,9.499498608522603e-7 - 6.2708606166630665e-6im,4.22233373747204e-6 - 3.2985203343141752e-6im,5.1722835983243e-6 - 9.569380950977241e-6im
-0.3103448275862069,-0.7586206896551724,1.733225231988457e-6 - 6.627124436772866e-6im,4.5543660977946305e-6 - 3.3220272668262986e-6im,6.287591329783088e-6 - 9.949151703599165e-6im
-0.3103448275862069,-0.6551724137931034,2.694979142410183e-6 - 6.935335117575212e-6im,4.944883170508897e-6 - 3.327346649336607e-6im,7.63986231291908e-6 - 1.026268176691182e-5im
-0.3103448275862069,-0.5517241379310345,3.8793705226833625e-6 - 7.1432200550784455e-6im,5.411212186743102e-6 - 3.2984392622198673e-6im,9.290582709426464e-6 - 1.0441659317298313e-5im
-0.3103448275862069,-0.4482758620689655,5.33301129448688e-6 - 7.158533164383884e-6im,5.974586899507593e-6 - 3.204663408853192e-6im,1.1307598193994473e-5 - 1.0363196573237077e-5im
-0.3103448275862069,-0.3448275862068966,7.0834129650087026e-6 - 6.821196539571603e-6im,6.653916747065049e-6 - 2.987587979429396e-6im,1.3737329712073752e-5 - 9.808784519000998e-6im
-0.3103448275862069,-0.2413793103448276,9.072561316279375e-6 - 5.8729461670669795e-6im,7.440073146745625e-6 - 2.5425609545507434e-6im,1.6512634463025e-5 - 8.415507121617723e-6im
-0.3103448275862069,-0.13793103448275862,1.1002321322983299e-5 - 3.992756771558948e-6im,8.22495234652858e-6 - 1.7239282483571594e-6im,1.922727366951188e-5 - 5.7166850199161074e-6im
-0.3103448275862069,-0.034482758620689655,1.2183933977086929e-5 - 1.0987785182988122e-6im,8.717923304605453e-6 - 4.749403500212691e-7im,2.090185728169238e-5 - 1.5737188683200814e-6im
-0.3103448275862069,0.06896551724137931,1.192653314787766e-5 + 2.153353798630046e-6im,8.609666098586572e-6 + 9.304172887359775e-7im,2.053619924646423e-5 + 3.083771087366023e-6im
-0.3103448275862069,0.1724137931034483,1.0400366839507922e-5 + 4.739156013775103e-6im,7.977475164017989e-6 + 2.0465001041636203e-6im,1.837784200352591e-5 + 6.785656117938723e-6im
-0.3103448275862069,0.27586206896551724,8.394081652883661e-6 + 6.2770100432252094e-6im,7.169626796357629e-6 + 2.724942731755965e-6im,1.556370844924129e-5 + 9.001952774981175e-6im
-0.3103448275862069,0.3793103448275862,6.467555296258707e-6 + 6.986543589675339e-6im,6.414043240761044e-6 + 3.0789735721836074e-6im,1.288159853701975e-5 + 1.0065517161858947e-5im
-0.3103448275862069,0.4827586206896552,4.816017237751869e-6 + 7.182936286600777e-6im,5.774642589696809e-6 + 3.245969661710783e-6im,1.0590659827448678e-5 + 1.042890594831156e-5im
-0.3103448275862069,0.5862068965517241,3.4568889676676184e-6 + 7.089699052460762e-6im,5.246088417271295e-6 + 3.3133578566043312e-6im,8.702977384938914e-6 + 1.0403056909065093e-5im
-0.3103448275862069,0.6896551724137931,2.351972489225339e-6 + 6.840542385965596e-6im,4.807237269852602e-6 + 3.328374783572685e-6im,7.159209759077941e-6 + 1.0168917169538281e-5im
-0.3103448275862069,0.7931034482758621,1.4542740443800722e-6 + 6.511905225700949e-6im,4.437924396549842e-6 + 3.3156801448617872e-6im,5.892198440929915e-6 + 9.827585370562736e-6im
-0.3103448275862069,0.896551724137931,7.219815893596167e-7 + 6.146969319833728e-6im,4.122287080948809e-6 + 3.288257279330711e-6im,4.8442686703084254e-6 + 9.435226599164439e-6im
-0.3103448275862069,1.0,1.2127885144914113e-7 + 5.77011461173585e-6im,3.84850268695801e-6 + 3.2530795160732637e-6im,3.969781538407151e-6 + 9.023194127809114e-6im
-0.20689655172413793,-2.0,-2.600963622705702e-6 - 2.8027998723585364e-6im,2.2345552445059163e-6 - 2.9725776443274235e-6im,-3.6640837819978553e-7 - 5.77537751668596e-6im
-0.20689655172413793,-1.896551724137931,-2.5123823628721602e-6 - 3.0751178375163964e-6im,2.344134600159503e-6 - 3.0178103074477687e-6im,-1.6824776271265728e-7 - 6.092928144964165e-6im
-0.20689655172413793,-1.793103448275862,-2.403660981422601e-6 - 3.364032389694454e-6im,2.4615765556287556e-6 - 3.064754703398674e-6im,5.791557420615455e-8 - 6.428787093093128e-6im
-0.20689655172413793,-1.6896551724137931,-2.2712896004792815e-6 - 3.6710430345935115e-6im,2.587910277673128e-6 - 3.113599595064751e-6im,3.1662067719384646e-7 - 6.784642629658263e-6im
-0.20689655172413793,-1.5862068965517242,-2.110938374710711e-6 - 3.997793944867342e-6im,2.7243943018422346e-6 - 3.1646102843326427e-6im,6.134559271315235e-7 - 7.1624042291999856e-6im
-0.20689655172413793,-1.4827586206896552,-1.9172102296798225e-6 - 4.346068836413205e-6im,2.8725749462455356e-6 - 3.2180230142825158e-6im,9.55364716565713e-7 - 7.564091850695721e-6im
